2019-03-14 15:25:30.3940 | INFO | front model done
2019-03-14 15:27:52.8886 | INFO | Application start
2019-03-14 15:29:00.9176 | INFO | GetWithChaptersV2 id=160003
2019-03-14 15:29:00.9541 | INFO | Book was getted book=Test book
2019-03-14 15:29:00.9581 | INFO | Start constructor BookWithChaptersV2
2019-03-14 15:29:01.0207 | INFO | Book contains cycle = False
2019-03-14 15:29:01.0207 | INFO | maxDepth = 3
2019-03-14 15:29:01.1257 | INFO | elChapters calculated
2019-03-14 15:29:01.1352 | INFO | AllChapters processed
2019-03-14 15:29:01.1352 | INFO | SetVisualParent
2019-03-14 15:29:01.1468 | INFO | We are created BookWithChaptersV2
2019-03-14 15:29:01.1468 | INFO | front model done
2019-03-14 15:29:10.6587 | INFO | GetWithChaptersV2 id=160003
2019-03-14 15:29:10.6627 | INFO | Book was getted book=Test book
2019-03-14 15:29:10.6627 | INFO | Start constructor BookWithChaptersV2
2019-03-14 15:29:10.6627 | INFO | Book contains cycle = False
2019-03-14 15:29:10.6627 | INFO | maxDepth = 4
2019-03-14 15:29:10.6867 | INFO | elChapters calculated
2019-03-14 15:29:10.6867 | INFO | AllChapters processed
2019-03-14 15:29:10.6867 | INFO | SetVisualParent
2019-03-14 15:29:10.6867 | INFO | We are created BookWithChaptersV2
2019-03-14 15:29:10.6867 | INFO | front model done
2019-03-14 15:29:15.2247 | INFO | GetWithChaptersV2 id=160003
2019-03-14 15:29:15.2247 | INFO | Book was getted book=Test book
2019-03-14 15:29:15.2497 | INFO | Start constructor BookWithChaptersV2
2019-03-14 15:29:15.2962 | INFO | Book contains cycle = False
2019-03-14 15:29:15.2962 | INFO | maxDepth = 4
2019-03-14 15:29:15.3333 | INFO | elChapters calculated
2019-03-14 15:29:15.3348 | INFO | AllChapters processed
2019-03-14 15:29:15.3348 | INFO | SetVisualParent
2019-03-14 15:29:15.3348 | INFO | We are created BookWithChaptersV2
2019-03-14 15:29:15.3348 | INFO | front model done
2019-03-14 15:29:21.6060 | INFO | GetWithChaptersV2 id=160003
2019-03-14 15:29:21.6060 | INFO | Book was getted book=Test book
2019-03-14 15:29:21.6060 | INFO | Start constructor BookWithChaptersV2
